
2023/09/29 (19:17:04) | ERROR: Failed to get size of terminal!

2023/09/29 (21:14:51) | ===> btop++ v.1.2.13
2023/09/29 (21:14:51) | ERROR: Failed to get size of terminal!

2023/09/30 (08:41:22) | ===> btop++ v.1.2.13
2023/09/30 (08:41:22) | ERROR: Failed to get size of terminal!

2023/10/01 (18:01:52) | ===> btop++ v.1.2.13
2023/10/01 (18:01:52) | ERROR: Failed to get size of terminal!

2023/10/01 (18:12:06) | ===> btop++ v.1.2.13
2023/10/01 (18:12:06) | ERROR: Failed to get size of terminal!

2023/10/02 (07:57:47) | ===> btop++ v.1.2.13
2023/10/02 (07:57:47) | ERROR: Failed to get size of terminal!

2023/10/02 (13:37:45) | ===> btop++ v.1.2.13
2023/10/02 (13:37:45) | ERROR: Failed to get size of terminal!

2023/10/02 (14:26:59) | ===> btop++ v.1.2.13
2023/10/02 (14:26:59) | ERROR: Failed to get size of terminal!

2023/10/02 (14:40:04) | ===> btop++ v.1.2.13
2023/10/02 (14:40:05) | ERROR: Stall in Runner thread, restarting!

2023/10/02 (14:40:46) | ===> btop++ v.1.2.13
2023/10/02 (14:40:46) | ERROR: Failed to get size of terminal!

2023/10/02 (14:59:20) | ===> btop++ v.1.2.13
2023/10/02 (14:59:20) | ERROR: Failed to get size of terminal!

2023/10/02 (15:08:40) | ===> btop++ v.1.2.13
2023/10/02 (15:08:40) | ERROR: Failed to get size of terminal!

2023/10/02 (16:00:17) | ===> btop++ v.1.2.13
2023/10/02 (16:00:17) | ERROR: Failed to get size of terminal!

2023/10/02 (16:14:06) | ===> btop++ v.1.2.13
2023/10/02 (16:14:06) | ERROR: Failed to get size of terminal!

2023/10/02 (16:17:46) | ===> btop++ v.1.2.13
2023/10/02 (16:17:46) | ERROR: Failed to get size of terminal!

2023/10/02 (16:22:43) | ===> btop++ v.1.2.13
2023/10/02 (16:22:43) | ERROR: Failed to get size of terminal!

2023/10/03 (10:06:32) | ===> btop++ v.1.2.13
2023/10/03 (10:06:32) | ERROR: Failed to get size of terminal!

2023/10/03 (10:06:59) | ===> btop++ v.1.2.13
2023/10/03 (10:06:59) | ERROR: Failed to get size of terminal!

2023/10/03 (10:27:29) | ===> btop++ v.1.2.13
2023/10/03 (10:27:29) | ERROR: Failed to get size of terminal!

